i1	V(vout)
-3.000000000000000e+000	1.459015e+000
-2.500000000000000e+000	1.484720e+000
-2.000000000000000e+000	1.510424e+000
-1.500000000000000e+000	1.536128e+000
-1.000000000000000e+000	1.561832e+000
-5.000000000000000e-001	1.587536e+000
0.000000000000000e+000	1.613240e+000
5.000000000000000e-001	1.638944e+000
1.000000000000000e+000	1.664648e+000
1.500000000000000e+000	1.690352e+000
2.000000000000000e+000	1.716056e+000
2.500000000000000e+000	1.741760e+000
3.000000000000000e+000	1.767464e+000
